Station ID,Value,DateTime,Rainfall (mm),Quality Code
4854009, 18.00,20220101 0000, 0.0, 1
4854009, 18.00,20220101 0100, 0.0, 1
4854009, 18.00,20220101 0200, 0.0, 1
4854009, 18.00,20220101 0300, 0.0, 1
4854009, 18.00,20220101 0400, 0.0, 1
4854009, 18.00,20220101 0500, 0.0, 1
4854009, 18.00,20220101 0600, 0.0, 1
4854009, 18.00,20220101 0700, 0.0, 1
4854009, 18.00,20220101 0800, 0.0, 1
4854009, 18.00,20220101 0900, 0.0, 1
4854009, 18.00,20220101 1000, 0.0, 1
4854009, 18.00,20220101 1100, 0.0, 1
4854009, 18.00,20220101 1200, 0.0, 1
4854009, 18.00,20220101 1300, 0.0, 1
4854009, 18.00,20220101 1400, 6.0, 1
4854009, 18.00,20220101 1500, 6.5, 1
4854009, 18.00,20220101 1600, 0.0, 1
4854009, 18.00,20220101 1700, 1.0, 1
4854009, 18.00,20220101 1800, 0.0, 1
4854009, 18.00,20220101 1900, 0.0, 1
4854009, 18.00,20220101 2000, 0.0, 1
4854009, 18.00,20220101 2100, 0.0, 1
4854009, 18.00,20220101 2200, 0.0, 1
4854009, 18.00,20220101 2300, 0.0, 1
4854009, 18.00,20220102 0000, 0.0, 1
4854009, 18.00,20220102 0100, 0.0, 1
4854009, 18.00,20220102 0200, 0.0, 1
4854009, 18.00,20220102 0300, 0.0, 1
4854009, 18.00,20220102 0400, 0.0, 1
4854009, 18.00,20220102 0500, 0.0, 1
4854009, 18.00,20220102 0600, 0.0, 1
4854009, 18.00,20220102 0700, 0.0, 1
4854009, 18.00,20220102 0800, 0.0, 1
4854009, 18.00,20220102 0900, 0.0, 1
4854009, 18.00,20220102 1000, 0.0, 1
4854009, 18.00,20220102 1100, 0.0, 1
4854009, 18.00,20220102 1200, 0.0, 1
4854009, 18.00,20220102 1300, 0.0, 1
4854009, 18.00,20220102 1400, 0.0, 1
4854009, 18.00,20220102 1500, 0.0, 1
4854009, 18.00,20220102 1600, 0.0, 1
4854009, 18.00,20220102 1700, 0.0, 1
4854009, 18.00,20220102 1800, 0.0, 1
4854009, 18.00,20220102 1900, 0.0, 1
4854009, 18.00,20220102 2000, 0.0, 1
4854009, 18.00,20220102 2100, 0.0, 1
4854009, 18.00,20220102 2200, 0.0, 1
4854009, 18.00,20220102 2300, 0.0, 1
4854009, 18.00,20220103 0000, 0.0, 1
4854009, 18.00,20220103 0100, 0.0, 1
4854009, 18.00,20220103 0200, 0.0, 1
4854009, 18.00,20220103 0300, 0.0, 1
4854009, 18.00,20220103 0400, 0.0, 1
4854009, 18.00,20220103 0500, 0.0, 1
4854009, 18.00,20220103 0600, 0.0, 1
4854009, 18.00,20220103 0700, 0.0, 1
4854009, 18.00,20220103 0800, 0.0, 1
4854009, 18.00,20220103 0900, 0.0, 1
4854009, 18.00,20220103 1000, 0.0, 1
4854009, 18.00,20220103 1100, 0.0, 1
4854009, 18.00,20220103 1200, 0.0, 1
4854009, 18.00,20220103 1300, 0.0, 1
4854009, 18.00,20220103 1400, 8.5, 1
4854009, 18.00,20220103 1500, 11.5, 1
4854009, 18.00,20220103 1600, 0.5, 1
4854009, 18.00,20220103 1700, 0.0, 1
4854009, 18.00,20220103 1800, 0.0, 1
4854009, 18.00,20220103 1900, 0.0, 1
4854009, 18.00,20220103 2000, 0.0, 1
4854009, 18.00,20220103 2100, 0.5, 1
4854009, 18.00,20220103 2200, 0.0, 1
4854009, 18.00,20220103 2300, 0.5, 1
4854009, 18.00,20220104 0000, 1.0, 1
4854009, 18.00,20220104 0100, 0.0, 1
4854009, 18.00,20220104 0200, 0.0, 1
4854009, 18.00,20220104 0300, 0.0, 1
4854009, 18.00,20220104 0400, 0.0, 1
4854009, 18.00,20220104 0500, 0.0, 1
4854009, 18.00,20220104 0600, 0.0, 1
4854009, 18.00,20220104 0700, 0.0, 1
